sector_code,sector_name,n_days,total_return,annual_return,max_drawdown,sharpe,win_rate,buy_count,avg_holding_days,position_pct
801010,农林牧渔,252,-0.1301,-0.1301,-0.2284,-1.02,0.4505,6,30.3,0.7222
801030,基础化工,252,0.1162,0.1162,-0.1943,0.54,0.5408,10,19.6,0.7778
801040,钢铁,252,-0.0147,-0.0147,-0.2517,-0.1,0.4679,7,22.3,0.619
801050,有色金属,252,0.4735,0.4735,-0.2663,1.38,0.5163,12,12.8,0.6071
801080,电子,252,0.9468,0.9468,-0.1829,2.38,0.5278,12,15.0,0.7143
801110,家用电器,252,-0.0154,-0.0154,-0.1215,-0.21,0.5177,3,75.3,0.8968
801120,食品饮料,252,-0.1122,-0.1122,-0.1862,-0.88,0.4239,4,46.0,0.7302
801130,纺织服饰,252,0.0567,0.0567,-0.139,0.34,0.5263,4,42.8,0.6786
801140,轻工制造,252,0.0143,0.0143,-0.1761,0.05,0.5415,1,229.0,0.9087
801150,医药生物,252,-0.1216,-0.1216,-0.2578,-0.73,0.4597,4,52.8,0.8373
801160,公用事业,252,0.1404,0.1404,-0.0687,1.01,0.5087,11,15.7,0.6865
801170,交通运输,252,-0.0569,-0.0569,-0.1191,-0.59,0.5172,8,21.8,0.6905
801180,房地产,252,-0.1028,-0.1028,-0.217,-0.56,0.5288,4,52.0,0.8254
801200,商贸零售,252,-0.1846,-0.1846,-0.3064,-1.03,0.5109,1,229.0,0.9087
801210,社会服务,252,-0.12,-0.12,-0.2415,-0.67,0.4866,2,112.0,0.8889
801230,综合,252,0.312,0.312,-0.2259,1.05,0.5188,9,20.0,0.6349
801710,建筑材料,252,0.4292,0.4292,-0.0843,1.94,0.5612,10,13.9,0.5516
801720,建筑装饰,252,0.0066,0.0066,-0.1542,-0.0,0.5,5,37.6,0.746
801730,电力设备,252,0.3849,0.3849,-0.1497,1.47,0.5029,7,24.7,0.6865
801740,国防军工,252,0.0859,0.0859,-0.2704,0.37,0.5263,2,104.5,0.8294
801750,计算机,252,-0.055,-0.055,-0.2626,-0.16,0.545,4,50.0,0.7937
801760,传媒,252,-0.1502,-0.1502,-0.3824,-0.57,0.4883,2,106.5,0.8452
801770,通信,252,1.1876,1.1876,-0.1037,2.47,0.497,18,9.2,0.6548
801780,银行,252,-0.1413,-0.1413,-0.1622,-1.34,0.4365,6,32.8,0.7817
801790,非银金融,252,-0.0881,-0.0881,-0.2448,-0.47,0.4481,3,70.7,0.8413
801880,汽车,252,-0.0083,-0.0083,-0.1856,-0.07,0.4978,1,229.0,0.9087
801890,机械设备,252,0.4443,0.4443,-0.1532,1.65,0.5634,6,35.5,0.8452
801950,煤炭,252,-0.0188,-0.0188,-0.1797,-0.11,0.464,9,13.9,0.496
801960,石油石化,252,-0.0575,-0.0575,-0.2761,-0.38,0.44,11,11.4,0.496
801970,环保,252,0.1209,0.1209,-0.1259,0.63,0.5354,3,75.3,0.8968
801980,美容护理,252,-0.2785,-0.2785,-0.3538,-1.65,0.4956,2,114.0,0.9048
